length,t_star,bond_dim,base_index,epsilon,num_prefixes,num_suffixes,num_sequences,hankel_diff_spec_raw,hankel_diff_fro_raw,hankel_diff_spec_proj,hankel_diff_fro_proj,total_mass_raw_clean,total_mass_raw_noisy,total_mass_proj_clean,total_mass_proj_noisy,kappa_raw_clean,kappa_raw_noisy,kappa_proj_inf_clean,kappa_proj_inf_noisy
10.0,5.0,4.0,4.0,0.003,32.0,32.0,1024.0,0.00012710083980279526,0.0004990508773612826,2.63303890478686e-05,7.028494035570938e-05,0.1637167400450663,0.16331349737890172,0.09214556049109063,0.0922052299159893,0.9986694115631842,0.9982109225668246,0.8989525101051656,0.8985481682958675
15.0,7.0,4.0,4.0,0.003,128.0,256.0,32768.0,3.0811372717485246e-05,0.00014707862669191668,5.179195708091711e-06,1.5862290541664497e-05,0.17052734530890357,0.17063505774340137,0.09214556049170262,0.09220522991690643,0.9986694115631842,0.9982109225668246,0.9478663295725535,0.9478770473937358
20.0,10.0,4.0,4.0,0.003,256.0,256.0,65536.0,7.655440717233796e-07,7.17117539417756e-06,2.4546619436349053e-07,9.938680520493224e-07,0.1698852838311813,0.1706253354625899,0.09214556049170844,0.0922052299169124,0.9986694115631842,0.9982109225668246,0.9478663295725535,0.9478770473937358
5.0,2.0,4.0,4.0,0.01,4.0,8.0,32.0,0.0010150919923729443,0.005553881932453373,0.00025207571158795755,0.0006232213802880031,0.1638324486810825,0.1610621580142107,0.09214066529518443,0.09224235878268439,0.9986694115631842,0.9898931562741264,0.8711547633558565,0.8706088935045534
10.0,5.0,4.0,4.0,0.01,32.0,32.0,1024.0,0.0005851167161679506,0.0023920089841929924,0.00011550169262374767,0.00022080815590020962,0.1637167400450663,0.16124501640442757,0.09214556049109063,0.09224735482370248,0.9986694115631842,0.9941310426374451,0.8989525101051656,0.8999380990887254
15.0,7.0,4.0,4.0,0.01,128.0,256.0,32768.0,4.369908258688665e-05,0.0005015370753298319,1.3946252691260504e-05,5.3884759515985574e-05,0.17052734530890357,0.1694511964705616,0.09214556049170262,0.0922473548262613,0.9986694115631842,0.9941310426374451,0.9478663295725535,0.9484514008566942
20.0,10.0,4.0,4.0,0.01,256.0,256.0,65536.0,6.190358683919407e-06,2.6898315750082306e-05,4.4081643089170236e-07,2.981453869070219e-06,0.1698852838311813,0.16738523532153105,0.09214556049170844,0.09224735482626673,0.9986694115631842,0.9950549871050274,0.9478663295725535,0.9484514008566942
5.0,2.0,4.0,5.0,0.001,4.0,8.0,32.0,0.0001925468111578013,0.0003651832911389272,6.182718600183328e-05,0.00013497549685240214,0.2882652479138083,0.2887833847839307,0.06217143721197968,0.06214576506853152,0.9997074983044134,0.9998523445626574,0.9156435777050937,0.9158745950714126
10.0,5.0,4.0,5.0,0.001,32.0,32.0,1024.0,2.8689035280839735e-05,0.00014260550656127719,1.9361244907220314e-05,3.3250839349332065e-05,0.3287708355556584,0.32920475328774945,0.062171317164526306,0.062145645257361014,0.9997074983044134,0.9998523445626574,0.9156435777050937,0.9158745950714126
15.0,7.0,4.0,5.0,0.001,128.0,256.0,32768.0,4.1797008379765675e-06,4.389733794244126e-05,2.2538666371037435e-06,7.636136054409801e-06,0.32769398298865826,0.3282448846048496,0.0621713171686991,0.06214564526147362,0.9997074983044134,0.9998523445626574,0.9156435777050937,0.9158745950714126
20.0,10.0,4.0,5.0,0.001,256.0,256.0,65536.0,2.6770550057294435e-07,2.95162757804345e-06,1.3546627354205608e-07,3.4395084427876495e-07,0.3275196375125128,0.32755422386347316,0.0621713171686974,0.062145645261471934,0.9997074983044134,0.9998523445626574,0.9156435777050937,0.9158745950714126
5.0,2.0,4.0,5.0,0.003,4.0,8.0,32.0,0.0004489636989393977,0.0019198522901777923,0.00034709784800144184,0.0007683987594970363,0.2882652479138083,0.28791224926829284,0.06217143721197968,0.06208315101782995,0.9997074983044134,1.0018158641916466,0.9156435777050937,0.9160697587096825
10.0,5.0,4.0,5.0,0.003,32.0,32.0,1024.0,0.00010478752909810708,0.00048464212673572773,0.00014305559674137125,0.00016045436301466117,0.3287708355556584,0.3301295056974182,0.062171317164526306,0.062083029001081924,0.9997074983044134,1.0018158641916466,0.9156435777050937,0.9160697587096825
15.0,7.0,4.0,5.0,0.003,128.0,256.0,32768.0,1.5280228890085382e-05,0.00012910822482575316,4.704204313420275e-06,3.355053120133173e-05,0.32769398298865826,0.32704362174836754,0.0621713171686991,0.06208302900503186,0.9997074983044134,1.0018158641916466,0.9156435777050937,0.9160697587096825
20.0,10.0,4.0,5.0,0.003,256.0,256.0,65536.0,8.676121117530867e-07,7.918183244264578e-06,3.9861689410233425e-07,1.4669828534760957e-06,0.3275196375125128,0.32701347278311993,0.0621713171686974,0.06208302900503019,0.9997074983044134,1.0018158641916466,0.9156435777050937,0.9160697587096825
5.0,2.0,4.0,5.0,0.01,4.0,8.0,32.0,0.0015927453730488579,0.005231629595647649,0.00042388416413887623,0.0008784176389818962,0.2882652479138083,0.2865930417497407,0.06217143721197968,0.06195185013253276,0.9997074983044134,1.0007465957559338,0.9156435777050937,0.916283551980457
10.0,5.0,4.0,5.0,0.01,32.0,32.0,1024.0,0.0003085675525775699,0.0015727572340106005,6.351918161760847e-05,0.0002058712144370548,0.3287708355556584,0.3303742313712139,0.062171317164526306,0.06195172472914883,0.9997074983044134,1.0007465957559338,0.9156435777050937,0.916283551980457
15.0,7.0,4.0,5.0,0.01,128.0,256.0,32768.0,7.527312378538289e-05,0.00042822707267036196,2.0510792846263785e-05,5.173745163021196e-05,0.32769398298865826,0.33451214334667934,0.0621713171686991,0.06195172473332961,0.9997074983044134,1.0007465957559338,0.9156435777050937,0.916283551980457
20.0,10.0,4.0,5.0,0.01,256.0,256.0,65536.0,1.8325962596525564e-06,2.4614657840903328e-05,4.087668099525143e-07,2.821148409862601e-06,0.3275196375125128,0.3279259883826846,0.0621713171686974,0.061951724733327926,0.9997074983044134,1.0007465957559338,0.9156435777050937,0.916283551980457
5.0,2.0,4.0,6.0,0.001,4.0,8.0,32.0,0.0003397135410681587,0.0008159507266077817,2.8191792377838197e-05,0.00010320503511532014,0.16372538774316006,0.16399688089649522,0.08057915333166007,0.08058169768578886,0.9781666796184766,0.9777500662114983,0.9027722943263096,0.9028596411104731
10.0,5.0,4.0,6.0,0.001,32.0,32.0,1024.0,2.2749847388626054e-05,0.000145751378372902,8.062729872196891e-06,2.758502871426668e-05,0.20987408657541223,0.20983339231993678,0.08057938311747712,0.0805819240469397,0.9997786280829323,1.000019221841243,0.9027722943263096,0.9028596411104731
15.0,7.0,4.0,6.0,0.001,128.0,256.0,32768.0,4.004721323096721e-06,4.546439800861518e-05,2.2708432151835958e-06,6.589354964875593e-06,0.20964168031160277,0.20974545809443929,0.08057938312670605,0.08058192405640764,0.9997786280829323,1.000019221841243,0.9027722943263096,0.9028596411104731
20.0,10.0,4.0,6.0,0.001,256.0,256.0,65536.0,2.2856890999891016e-07,3.463838360388432e-06,4.5492982556557824e-08,3.23220011705558e-07,0.20938342348514458,0.20935404302457306,0.08057938312670189,0.08058192405640348,0.9997786280829323,1.000019221841243,0.9027722943263096,0.9028596411104731
5.0,2.0,4.0,6.0,0.003,4.0,8.0,32.0,0.00040883354215292086,0.00261408480742079,0.00028828860269405427,0.0004846877366445937,0.16372538774316006,0.1636601658376417,0.08057915333166007,0.0805334181669743,0.9781666796184766,0.9785078561462888,0.9027722943263096,0.9017544848420752
10.0,5.0,4.0,6.0,0.003,32.0,32.0,1024.0,0.00011631670473752474,0.0005354576105512412,1.26653233607234e-05,9.92965101923281e-05,0.20987408657541223,0.20990041589496927,0.08057938311747712,0.08053365879192524,0.9997786280829323,1.0001242976436606,0.9027722943263096,0.9017544848420752
15.0,7.0,4.0,6.0,0.003,128.0,256.0,32768.0,2.4849369919387953e-05,0.00015192592187989669,3.96282353181914e-06,2.041191968448808e-05,0.20964168031160277,0.2095456290355944,0.08057938312670605,0.08053365880260908,0.9997786280829323,1.0001242976436606,0.9027722943263096,0.9017544848420752
20.0,10.0,4.0,6.0,0.003,256.0,256.0,65536.0,1.452298409495686e-06,1.2459110037026712e-05,1.025558314321348e-07,9.70084170382765e-07,0.20938342348514458,0.2095771725859971,0.08057938312670189,0.08053365880260507,0.9997786280829323,1.0001242976436606,0.9027722943263096,0.9017544848420752
5.0,2.0,4.0,6.0,0.01,4.0,8.0,32.0,0.00126494639836595,0.007306702666232227,0.00048456506394046507,0.0011432047106084472,0.16372538774316006,0.1625067767348056,0.08057915333166007,0.0802417779860075,0.9781666796184766,0.9840809478041737,0.9027722943263096,0.9037884242357396
