length,base_index,bond_max,bond_eff,depth,t_star,tail_energy_sum,tail_energy_norm,delta_th,delta_psi,delta_psi_over_tail,prob_diff_l2,hankel_diff_fro,hankel_diff_spec,base_rank_full,rank_delta_th,rank_delta_spec,rank_success_delta_th,rank_success_delta_spec,trunc_rank_num_1e-10,base_rank_eps_1e-12,trunc_rank_eps_1e-12,base_rank_eps_1e-10,trunc_rank_eps_1e-10,base_rank_eps_1e-08,trunc_rank_eps_1e-08,base_rank_eps_1e-06,trunc_rank_eps_1e-06
10,3,8,8,10,5,0.1935120001752101,0.4398999888329279,0.8797999776658558,0.45156003081346613,1.0265061202012593,0.0200435939677734,0.0200435939677734,0.00792742275882169,32,0,5,1,1,32,32,32,32,32,32,32,32,32
10,4,8,2,10,5,0.8805496451905148,0.9383760681041022,1.8767521362082045,1.1440140676789143,1.2191424169526017,0.07149305446531287,0.07149305446531287,0.058662689169784114,32,0,0,1,1,4,32,4,32,4,32,4,32,4
10,4,8,4,10,5,0.5584947593027375,0.7473250693658935,1.494650138731787,0.8191964267361516,1.0961714792081592,0.040154700587479435,0.040154700587479435,0.023817747002793464,32,0,1,1,1,16,32,16,32,16,32,16,32,16
10,4,8,8,10,5,0.19860914149301417,0.44565585544567254,0.8913117108913451,0.4578113871574154,1.0272756019318692,0.020003952746706775,0.020003952746706775,0.007246137108509707,32,0,8,1,1,32,32,32,32,32,32,32,32,32
12,0,8,2,12,6,0.9483052763920804,0.9738096715437162,1.9476193430874325,1.2430891062598293,1.2765216269512318,0.047276820585183024,0.047276820585183024,0.04126742052503701,64,0,0,1,1,4,64,4,64,4,64,4,64,4
12,0,8,4,12,6,0.8158437514894943,0.9032406941062245,1.806481388212449,1.0685183187466876,1.182982925502497,0.026052219989134328,0.026052219989134328,0.014861490329483657,64,0,1,1,1,16,64,16,64,16,64,16,64,16
12,0,8,8,12,6,0.5418256101379856,0.7360880450992161,1.4721760901984322,0.803883321540772,1.0921021294842765,0.01877968652471387,0.01877968652471387,0.00729055981009889,64,0,1,1,1,64,64,64,64,64,64,64,64,62
12,1,8,2,12,6,0.8970683010333225,0.9471368966698122,1.8942737933396243,1.1654786965047401,1.2305282378953142,0.040069782784102864,0.040069782784102864,0.033225330822787266,64,0,0,1,1,4,64,4,64,4,64,4,64,4
12,1,8,4,12,6,0.7090304296416331,0.8420394466066499,1.6840788932132997,0.9597750225892273,1.1398219245630856,0.025968476690444095,0.025968476690444095,0.017326493323445186,64,0,1,1,1,16,64,16,64,16,64,16,64,16
12,1,8,8,12,6,0.4152947913476926,0.6444336981782475,1.288867396356495,0.6860609424495789,1.064595076869828,0.01664581675301922,0.01664581675301922,0.007772952530074052,64,0,1,1,1,64,64,64,64,64,64,63,64,62
12,2,8,2,12,6,0.9429653767952388,0.9710640436115626,1.9421280872231252,1.2338401622239157,1.270606372814548,0.04274299797311506,0.04274299797311506,0.034441245084530024,64,0,0,1,1,4,64,4,64,4,64,4,64,4
12,2,8,4,12,6,0.7939675818693894,0.8910485855829576,1.7820971711659153,1.0450761310552126,1.1728609954209,0.023870777951241196,0.023870777951241196,0.01169461279875498,64,0,1,1,1,16,64,16,64,16,64,16,64,16
12,2,8,8,12,6,0.46982296852248717,0.6854363344049447,1.3708726688098893,0.7373838017008226,1.075787443250985,0.016889422325925187,0.016889422325925187,0.0063950286739370395,64,0,1,1,1,64,64,64,64,64,64,64,64,62
12,3,8,2,12,6,0.9411404101834548,0.9701239148600836,1.9402478297201673,1.2307640276872271,1.268666825788677,0.03489875364080429,0.03489875364080429,0.027703359351109822,64,0,0,1,1,4,64,4,64,4,64,4,64,4
12,3,8,4,12,6,0.7479257687182159,0.864827016644494,1.729654033288988,0.9979279066116493,1.1539046392000833,0.02228369617730771,0.02228369617730771,0.011446037679265332,64,0,1,1,1,16,64,16,64,16,64,16,64,16
12,3,8,8,12,6,0.4173790660803283,0.6460488109116279,1.2920976218232558,0.6880463669593848,1.0650067848410631,0.015047532465285942,0.015047532465285942,0.005022798036361733,64,0,1,1,1,64,64,64,64,64,64,64,64,63
12,4,8,2,12,6,0.9576055403485176,0.9785732166519364,1.9571464333038728,1.2602387478372785,1.287832863594024,0.03959235982278257,0.03959235982278257,0.030675447361495675,64,0,0,1,1,4,64,4,64,4,64,4,64,4
12,4,8,4,12,6,0.7864800892352128,0.886837126667131,1.773674253334262,1.037225002394235,1.16957778514786,0.02721326715311885,0.02721326715311885,0.016389347763365213,64,0,1,1,1,16,64,16,64,16,64,16,64,16
12,4,8,8,12,6,0.5084689049479725,0.7130700561291102,1.4261401122582205,0.7731846010678801,1.0843038414277284,0.017058363869913194,0.017058363869913194,0.006346537423826408,64,0,1,1,1,64,64,64,64,64,64,64,64,62
