model,length,sample_size,trial,rank_true,rank_used,delta_hankel,sigma_min_true,sigma_min_emp,mu,kappa_B,F_raw,F_proj,max_error_raw,tv_error_raw,max_error_proj,tv_error_proj,scaled_error_raw,scaled_error_proj,prefixes,suffixes,eval_words,effective_samples,sumB_norm_raw
high,8,1000,2,16,4,0.018457834192869366,4.7795087707024246e-05,0.019904967858105502,0.16096208087844643,0.9982024454769504,7.899878165296268,8.0,0.7439166274356948,0.9797119643568262,0.04904781595533245,0.4846056335147371,4.500773266503822e-06,2.930305831778872e-07,16,16,256,1000,5.023881997293558e-11
high,8,1000,3,16,4,0.02550188714252382,7.444923169619602e-05,0.018355523079231644,0.15711740388155226,0.9965731717075252,7.810059236020629,8.0,0.46772232981828277,0.8925847370642245,0.034761038834599474,0.6382513723208794,4.458553648546741e-06,3.234915792746955e-07,16,16,256,1000,0.0003653913803530526
high,8,1000,4,16,4,0.018149785313387404,1.4894980866129264e-07,0.019579071910052686,0.18347674180805335,0.9983016082885869,7.905373296528942,8.0,0.8187198275298608,0.9599687685649955,0.052634737894319314,0.47311029977070723,1.542598395844555e-08,9.799917672870189e-10,16,16,256,1000,1.01579317245001e-06
high,8,1000,5,16,4,0.016587729164137248,1.2921400971372074e-05,0.021184678470356294,0.151007498285652,0.997918376363639,7.8841545263838855,8.0,0.8026279536973774,0.949847438601141,0.026323126892008032,0.43311993924254255,1.3154330734956343e-06,4.251645967399287e-08,16,16,256,1000,7.94921560124129e-11
high,8,3000,1,16,4,0.012431883050283978,5.60338878470263e-07,0.01627612860432664,0.13925410817840228,0.9972010260483656,7.844567490930026,8.0,0.8712232221474437,0.9662602619001912,0.024103721682065093,0.4503208872343644,6.223163275219275e-08,1.6882815467859645e-09,16,16,256,3000,6.144019505121001e-11
high,8,3000,2,16,4,0.008415721424030607,8.019989038920716e-06,0.017127762014388575,0.16356744843493223,0.9990987633986754,7.949666999753047,8.0,0.36252689865716675,0.7643643657198199,0.03337721172734421,0.43658678959536945,3.657337789915876e-07,3.3460609025379564e-08,16,16,256,3000,8.748937940709688e-10
high,8,3000,3,15,4,0.015098974426543529,3.064207060800046e-05,0.01738900212402793,0.3020727206245159,0.9992242702232514,7.9566600970226,8.0,0.44171751800024617,0.9392996070316446,0.08811425388288041,0.5,1.7011081547167178e-06,3.375003986313125e-07,16,16,256,3000,6.83166831507121e-10
high,8,3000,4,16,4,0.008726485777137272,6.035307836002158e-06,0.017049444919806776,0.14952395591548281,0.9982781194810739,7.904071362538788,8.0,0.8973624365672966,0.966763811606252,0.039650237124361484,0.43545758939320167,6.851985890229894e-07,2.991267335200032e-08,16,16,256,3000,5.994200674694193e-07
high,8,3000,5,15,4,0.009295631062449414,7.804416496318539e-05,0.017080549983161296,0.1901951916177341,0.9999052833987511,7.994697377259564,8.0,0.6874970097144506,0.822704282088867,0.0352935153906888,0.5000000000000003,6.711339717557045e-06,3.443066171602049e-07,16,16,256,3000,6.00906901683236e-11
high,8,10000,1,16,4,0.0061754023708181895,3.157236202334433e-05,0.01506952170346241,0.21341128658691183,0.997362101619421,7.853441593911242,8.0,0.514477505780195,0.8732985937351211,0.056338449399738096,0.7172715285629169,2.068299594658336e-06,2.2234224003529964e-07,16,16,256,10000,6.635916659534074e-11
high,8,10000,2,16,4,0.005920141051327208,1.1453921998584629e-05,0.024366454271135613,0.2489852132318051,0.9995498562567261,7.974825966586151,8.0,0.6304146870503775,0.8778282141281097,0.084762367885635,0.5842176387623689,9.054392763542897e-07,1.2135769377217476e-07,16,16,256,10000,4.104039361754118e-11
high,8,10000,3,15,4,0.005570571128872476,0.0,0.022816527301741406,0.18758548092515523,0.9995356045137822,7.974030056154143,8.0,0.5505728393124013,0.8895696227201157,0.03773034702239107,0.4813216578827466,0.0,0.0,16,16,256,10000,0.00021865667877618317
high,8,10000,4,16,4,0.0050383652036833735,1.0846211127090681e-05,0.017031502233764578,0.1542833358713033,0.9848630812426051,7.189869221853474,8.0,0.4804302981052538,0.8444385579011259,0.02957184083143907,0.4520418438676255,7.247487102077489e-07,4.009280363431362e-08,16,16,256,10000,7.636502778784402e-11
high,8,10000,5,15,4,0.005214815152773357,0.0,0.012758995592679706,0.21718740417290958,0.9913187394209474,7.526328997611421,8.0,0.9251061898340782,0.9887709680251457,0.06634687859390273,0.6038262828434421,0.0,0.0,16,16,256,10000,8.653459627167461e-11
