section,length,d,bond_dim,trial,sample_size,method,K,error_spec,error_fro,p_true,abs_error,sq_error
amplitude,,,,,1000,qae,2,,,0.15,0.001488352573028373,2.2151933816401786e-06
amplitude,,,,,1000,qae,4,,,0.15,0.0020591795580582606,4.240220452325013e-06
amplitude,,,,,1000,qae,8,,,0.15,0.00036810351120009077,1.3550019495783534e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0004736506382098937,2.2434492707663964e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00036145476931906395,1.3064955026349774e-07
amplitude,,,,,1000,classical,0,,,0.15,0.007000000000000006,4.9000000000000087e-05
amplitude,,,,,1000,qae,1,,,0.15,0.014450707512088962,0.00020882294759994434
amplitude,,,,,1000,qae,2,,,0.15,0.0005793561318465368,3.356535275081817e-07
amplitude,,,,,1000,qae,4,,,0.15,0.00020183349338798173,4.0736759053196464e-08
amplitude,,,,,1000,qae,8,,,0.15,0.002927205395730631,8.56853142879452e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0006100479122070623,3.7215845518819566e-07
amplitude,,,,,1000,qae,32,,,0.15,1.0386443144105861e-05,1.0787820118574365e-10
amplitude,,,,,1000,classical,0,,,0.15,0.008000000000000007,6.400000000000012e-05
amplitude,,,,,1000,qae,1,,,0.15,0.02010474491947531,0.00040420076827716824
amplitude,,,,,1000,qae,2,,,0.15,0.0021218113865028865,4.502083559893301e-06
amplitude,,,,,1000,qae,4,,,0.15,0.003652207830866172,1.333862203984019e-05
amplitude,,,,,1000,qae,8,,,0.15,0.001825729187263675,3.333287065226479e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0010347635117168852,1.0707355251806605e-06
amplitude,,,,,1000,qae,32,,,0.15,0.0012602830228463369,1.5883132976747004e-06
amplitude,,,,,1000,classical,0,,,0.15,0.0020000000000000018,4.0000000000000074e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0031598962835346633,9.984944522696178e-06
amplitude,,,,,1000,qae,2,,,0.15,0.0017492967813755589,3.06003922933089e-06
amplitude,,,,,1000,qae,4,,,0.15,0.0012708217809773992,1.6149879990065687e-06
amplitude,,,,,1000,qae,8,,,0.15,0.004104299942426504,1.68452780174022e-05
amplitude,,,,,1000,qae,16,,,0.15,0.0008672158602883173,7.520633483356063e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0003075338318538068,9.45770577346855e-08
amplitude,,,,,1000,classical,0,,,0.15,0.011999999999999983,0.0001439999999999996
amplitude,,,,,1000,qae,1,,,0.15,0.003161197628180873,9.993170444416377e-06
amplitude,,,,,1000,qae,2,,,0.15,0.003579674480638978,1.2814069387337936e-05
amplitude,,,,,1000,qae,4,,,0.15,3.9541182458746604e-05,1.5635051102358902e-09
amplitude,,,,,1000,qae,8,,,0.15,9.494017002956157e-05,9.013635885242061e-09
amplitude,,,,,1000,qae,16,,,0.15,0.0003817654323546027,1.4574484534089673e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0003882103599918696,1.50707283605017e-07
amplitude,,,,,1000,classical,0,,,0.15,0.014000000000000012,0.00019600000000000035
amplitude,,,,,1000,qae,1,,,0.15,0.004642519956309321,2.15529915447303e-05
amplitude,,,,,1000,qae,2,,,0.15,0.0016376121670803045,2.6817736097694513e-06
amplitude,,,,,1000,qae,4,,,0.15,0.0033964580022759483,1.1535926961224325e-05
amplitude,,,,,1000,qae,8,,,0.15,0.002314867857522468,5.3586131977906605e-06
amplitude,,,,,1000,qae,16,,,0.15,0.00036628421479478757,1.3416412600783407e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0009606304221063122,9.228108078761516e-07
amplitude,,,,,1000,classical,0,,,0.15,0.016000000000000014,0.0002560000000000005
amplitude,,,,,1000,qae,1,,,0.15,0.01790360787624598,0.0003205391749863771
amplitude,,,,,1000,qae,2,,,0.15,0.0065194067842119785,4.2502664818029174e-05
amplitude,,,,,1000,qae,4,,,0.15,0.000926374640577432,8.581699747049664e-07
amplitude,,,,,1000,qae,8,,,0.15,0.00035144296428812893,1.2351215714762706e-07
amplitude,,,,,1000,qae,16,,,0.15,0.00011988868250192852,1.4373296192048223e-08
amplitude,,,,,1000,qae,32,,,0.15,0.0003829284494263896,1.46634197380099e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0010000000000000009,1.0000000000000019e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0059014804788966035,3.4827471842797686e-05
amplitude,,,,,1000,qae,2,,,0.15,0.01082843920515772,0.00011725509561979674
amplitude,,,,,1000,qae,4,,,0.15,0.0022899644096572858,5.243936997497042e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0012730338683474007,1.6206152299595472e-06
amplitude,,,,,1000,qae,16,,,0.15,0.00038040723233903617,1.4470966241584545e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0002645206047071913,6.997115031465815e-08
amplitude,,,,,1000,classical,0,,,0.15,0.0030000000000000027,9.000000000000015e-06
amplitude,,,,,1000,qae,1,,,0.15,0.006321694882388262,3.996382618601395e-05
amplitude,,,,,1000,qae,2,,,0.15,0.003287937859123319,1.0810535365456433e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0008078645751059821,6.526451717111689e-07
amplitude,,,,,1000,qae,8,,,0.15,4.735649643755613e-05,2.242637754840266e-09
amplitude,,,,,1000,qae,16,,,0.15,0.00037903968781971553,1.436710849424674e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00040938584606606265,1.6759677095922596e-07
amplitude,,,,,1000,classical,0,,,0.15,0.009999999999999981,9.999999999999963e-05
amplitude,,,,,1000,qae,1,,,0.15,0.025170036234766657,0.0006335307240594665
amplitude,,,,,1000,qae,2,,,0.15,0.004397122965179717,1.9334690370910868e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0006978367187727985,4.869760860675858e-07
amplitude,,,,,1000,qae,8,,,0.15,0.00022188826371033477,4.923440157238706e-08
amplitude,,,,,1000,qae,16,,,0.15,5.964001179858958e-06,3.556931007335904e-11
amplitude,,,,,1000,qae,32,,,0.15,0.0005485532713549734,3.0091069151424316e-07
amplitude,,,,,1000,classical,0,,,0.15,0.006000000000000005,3.600000000000006e-05
amplitude,,,,,1000,qae,1,,,0.15,0.00998573050774279,9.971481377326508e-05
amplitude,,,,,1000,qae,2,,,0.15,0.007382830219897107,5.450618205582597e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0033050653052358325,1.0923456671873626e-05
amplitude,,,,,1000,qae,8,,,0.15,0.0011581625905281723,1.341340586098927e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0006100716772583503,3.7218745139281673e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0003149734250738889,9.920825850277671e-08
amplitude,,,,,1000,classical,0,,,0.15,0.020000000000000018,0.0004000000000000007
amplitude,,,,,1000,qae,1,,,0.15,0.003931827723420239,1.5459269246655982e-05
amplitude,,,,,1000,qae,2,,,0.15,0.0072477012434577215,5.25291733144186e-05
amplitude,,,,,1000,qae,4,,,0.15,0.001612822281250731,2.6011957108988117e-06
amplitude,,,,,1000,qae,8,,,0.15,4.512702549239189e-05,2.0364484297909878e-09
amplitude,,,,,1000,qae,16,,,0.15,0.0006235589189934054,3.8882572545622436e-07
